"PROVIDER_NUMBER","Hospital_Name","State","Num_DRG","Entire_100_Medicare_Payments","Entire_Medicare_Payments","Entire_100_Total_Payments","Entire_100_Covered_Charges","PNEUMONIA_193_Total_Discharges","PNEUMONIA_193_Average_Medicare_Payments","PNEUMONIA_193_Average_Total_Payments","Number_of_Pneumonia_Cases","Excess_Readmission_Ratio_for_Pneumonia","HF_291_Total_Discharges","HF_291_Average_Medicare_Payments","HF_291_Average_Total_Payments","Number_of_Heart_Failure_Cases","Excess_Readmission_Ratio_for_Heart_Failure","AMI_280_Total_Discharges","AMI_280_Average_Medicare_Payments","AMI_280_Average_Total_Payments","Number_of_Acute_Myocardial_Infarction_Cases","Acute_Myocardial_Infarction_Excess_Readmission_Ratio","HIP_480_Total_Discharges","HIP_480_Average_Medicare_Payments","HIP_480_Average_Total_Payments","Number_of_Hip_Knee_Arthroplasty_Cases","Hip_Knee_Arthroplasty_Excess_Readmission_Ratio","COPD_190_Total_Discharges","COPD_190_Average_Medicare_Payments","COPD_190_Average_Total_Payments","Number_of_Chronic_Obstructive_Pulmonary_Disease_Cases","Chronic_Obstructive_Pulmonary_Disease_Excess_Readmission_Ratio","Corrected_FY_2015_Readmissions_Adjustment_Factor","Readmissions_2015_penalty_100","Readmissions_2015_penalty_est","TOTAL_HOSPITAL_BEDS","TOTAL_HOSPITAL_MEDICARE_DAYS","TOTAL_HOSPITAL_DAYS","PERC_MEDICARE_DAYS","Bed_Utilization","TOTAL_HOSPITAL_MEDICARE_DISCHARGES","TOTAL_HOSPITAL_DISCHARGES","Address","City","ZIP_Code","County_Name","Hospital_Type","Hospital_Ownership","Emergency_Services","Average_100DRG_Medicare_Payments","Average_100DRG_Total_Payments","count_excess_ratio","count_excess_ratio_decimal","Salary_Adjusted_Factor","population_density","densityrank","TotalMCCPatients_gthan1","TotalMCCPatients","TotalreportedPatients","TotalreportedPatients_gthan1","Annual_increase_2015_2020","Annual_increase_2020_2025","Annual_increase_2025_2030","meet_eligibility","COPD_MCC_gthan1_meet_eligibility","PNEUMONIA_MCC_gthan1_meet_eligibility","HF_MCC_gthan1_meet_eligibility","AMI_MCC_gthan1_meet_eligibility","HIP_MCC_gthan1_meet_eligibility","Predicted_Readmission_Rate_2015_AMI","Predicted_Readmission_Rate_2015_COPD","Predicted_Readmission_Rate_2015_HF","Predicted_Readmission_Rate_2015_HIP","Predicted_Readmission_Rate_2015_PN","Expected_Readmission_Rate_2015_AMI","Expected_Readmission_Rate_2015_COPD","Expected_Readmission_Rate_2015_HF","Expected_Readmission_Rate_2015_HIP","Expected_Readmission_Rate_2015_PN","COPD_Total_Payments","HF_Total_Payments","PNE_Total_Payments","AMI_Total_Payments","HIP_Total_Payments","Aggregate_payments_all_discharge"
150021,"PARKVIEW REGIONAL MEDICAL CENTER","IN",93,40735171.46,58760347.503849,49214878.51,169618247.1,120,8341.93,9275.32,567,0.841993693,163,8685.92,9460.44,998,0.913308942,42,9834,11893.26,535,0.848407867,23,17321.39,18322.09,146,0.915535434,114,6176.25,7502.89,556,0.989750932,1,0,0,537,40259,135824,0.296405642596301,0.692961914236882,7488,26873,"11109 PARKVIEW PLAZA DRIVE","FORT WAYNE",46845,"ALLEN","Acute Care Hospitals","Voluntary non-profit - Private","Yes",7847.26863032171,9480.80880562512,0,0,0.953693712,545.1431371,0.622864243553899,0,462,2802,0,1.023846472,1.022676901,1.015499375,0.38685927306617,0,0,0,0,0,13.1,19.5,20.4,6.9,15,15,20.4,21.6,7.9,17.5,1702296.8,3157163.92,2307298.71,930679.04,1928496.93,70992296.3365209
150022,"FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE","IN",19,2040941.13,3461648.20231169,2412500.98,8797152.26,12,7921.75,8612.42,132,0.93737713,14,8896.64,9653.71,145,0.991158167,NA,NA,NA,12,0,NA,NA,NA,78,1.238043581,23,6042.74,6860.3,163,0.950517558,0.9825,35716.4697749999,60578.8435404544,31,2232,3586,0.622420524261015,0.316924436588599,653,1020,"1710 LAFAYETTE RD","CRAWFORDSVILLE",47933,"MONTGOMERY","Acute Care Hospitals","Voluntary non-profit - Church","Yes",5301.14579220779,6266.23631168831,1,1.238043581,0.953693712,135.9169252,0.353927351754114,0,49,530,78,1.023846472,1.022676901,1.015499375,0.306178205526234,0,0,0,NA,NA,NA,15.8,19.6,5.7,15.7,NA,17.5,20.5,5,16.4,454821.85,339557.94,295189.16,NA,NA,4091852.31153247
150023,"UNION HOSPITAL INC","IN",92,39649727.46,16735274.5772727,46267413.5,162016149.25,177,8435.69,9467.41,855,1.106610816,145,8973.69,9859.19,1117,0.976522299,118,10455.03,11497.31,689,0.925407505,29,20374.69,21425.69,473,0.958050517,250,6490.4,7560.63,1114,1.12020206,0.9919,321162.792426,135555.724075909,242,10135,21687,0.46733065892009,0.734554938355236,2145,4514,"1606 N SEVENTH ST","TERRE HAUTE",47804,"VIGO","Acute Care Hospitals","Voluntary non-profit - Other","Yes",7801.99280991736,9104.17424242424,2,2.226812876,0.953693712,268.2336503,0.471007751937984,427,719,4248,1969,1.023846472,1.022676901,1.015499375,0.341302325581395,85,60,0,0,0,15.7,22.6,22.8,4.8,20.6,16.6,21.6,23.1,5.2,18.7,3137507.19,2703142.91,3158833.17,2106081.64,1693516.23,19528453.75
150024,"ESKENAZI HEALTH","IN",58,22380444.22,36220665.107395,24920860.27,48063718.87,21,12814.43,14075.9,121,1.121686394,56,13830.91,15140.43,247,1.114169255,57,17086.4,18635.49,135,1.032021078,NA,NA,NA,33,1.056868712,42,10201.74,11343.43,319,0.945196078,0.9958,93997.8657239996,152126.793451059,289,14630,69113,0.211682317364316,0.655192681423899,3007,16044,"720 ESKENAZI AVENUE","INDIANAPOLIS",46202,"MARION","Acute Care Hospitals","Government - Local","Yes",12045.4489881593,13412.7342680301,4,4.324745439,0.953693712,2299.519515,0.869565217391304,134,176,855,536,1.023846472,1.022676901,1.015499375,0.460869565217391,0,10,26,26,NA,17.8,19.2,24.9,5.3,17,18.1,20.3,22.8,4.7,16.7,1452010.24,1646135.06,559075.83,1450913.11,220566,40332091.9439665
150026,"IU HEALTH GOSHEN HOSPITAL","IN",49,8000490.34,12268679.4339165,10189694.38,35820115.91,33,7564.09,8914.45,401,1.004257289,23,7130.09,7906.61,261,0.933983083,NA,NA,NA,92,1.055916904,NA,NA,NA,172,1.030353279,24,5404.08,7131.42,272,1.136670061,0.9938,49603.0401079999,76065.8124902819,123,8051,22384,0.359676554681916,0.498585588595612,1946,7011,"200 HIGH PARK AVE","GOSHEN",46526,"ELKHART","Acute Care Hospitals","Voluntary non-profit - Private","Yes",6304.56291568164,8029.70400315209,4,4.227197533,0.953693712,429.5173448,0.573511166253102,57,80,1198,937,1.023846472,1.022676901,1.015499375,0.372053349875931,9,12,0,NA,NA,15.1,19.4,17.3,4.1,15.4,14.2,17.4,18.8,4.5,14.8,683622.2,500261.14,966168.05,131905,431278.02,15625803.990134
150030,"HENRY COUNTY MEMORIAL HOSPITAL","IN",21,5157405.07,7103012.97065868,6142606.76,17793724.84,46,8936.52,9809.85,285,0.873079815,21,9191,10034.05,168,0.929165057,NA,NA,NA,13,0,NA,NA,NA,281,0.880779187,22,6203.18,8194.55,280,1.098161341,0.9946,27849.9873779998,38356.2700415566,79,3613,7745,0.466494512588767,0.26859719091382,920,2127,"1000 N 16TH ST","NEW CASTLE",47362,"HENRY","Acute Care Hospitals","Government - Local","Yes",7720.66627245509,9195.51910179641,1,1.098161341,0.953693712,125.7131577,0.334263565891473,22,89,1027,280,1.023846472,1.022676901,1.015499375,0.300279069767442,7,0,0,NA,NA,NA,21.4,19.2,4.3,13.9,NA,19.5,20.5,4.5,15.8,440592.03,328580.13,737168.18,NA,189301.05,8459877.5736527
150034,"ST MARY MEDICAL CENTER INC","IN",84,26787517.3,35482272.3186157,31307911.1,96965848.27,90,8131.52,9716.36,528,1.139387242,148,8393.83,9182.3,921,1.132732425,15,10146.27,10930,148,0.954490822,NA,NA,NA,532,0.947558121,155,6258.77,7228.49,773,1.081052637,0.9865,361631.483549999,479010.676301311,175,26975,52329,0.515488543637371,0.819240704500979,4995,10325,"1500 S LAKE PARK AVE","HOBART",46342,"LAKE","Acute Care Hospitals","Voluntary non-profit - Private","Yes",7103.5580217449,8302.28350570141,3,3.353172304,0.953693712,993.1793369,0.713708423997513,393,408,2902,2222,1.023846472,1.022676901,1.015499375,0.414112527199254,64,37,61,0,NA,14.6,22.8,26.2,5.4,20.3,15.4,20.4,22.6,5.4,18.1,2035101.58,2386333.28,1598178.11,243461.04,343875.04,41469906.1109785
150035,"PORTER REGIONAL HOSPITAL","IN",88,30917771.59,39138937.4452395,37398743.06,190013361.15,72,7802.82,8736.72,549,0.912078031,102,7904.55,8755.82,738,1.028260407,53,9528.79,11034.02,276,0.927020944,19,15339,16270.79,618,1.133663267,132,5607.48,7035.43,686,0.976786301,0.9924,234975.064084002,297455.924583822,238,28367,58485,0.485030349662307,0.673247381144239,5313,12988,"85 EAST US HWY 6","VALPARAISO",46383,"PORTER","Acute Care Hospitals","Proprietary","Yes",7366.6360710031,8910.82751012628,2,2.161923674,0.953693712,186.1510063,0.405212534905368,121,378,2867,1356,1.023846472,1.022676901,1.015499375,0.32156376047161,0,0,33,0,6,14.8,21,21.5,6.1,17.7,16.8,21.2,22.6,5.3,18,1870327.37,1721402.19,1145081.04,705288.14,675879.09,47343226.5613009
150037,"HANCOCK REGIONAL HOSPITAL","IN",31,5436532.21,7237948.46485748,6465570.12,16051675.12,52,7370.96,8281.83,286,0.930599044,28,7115.14,8854.71,138,0.908772874,NA,NA,NA,47,0.981140834,NA,NA,NA,168,0.909527799,25,5869.08,6771.24,255,0.959352251,1,0,0,61,3578,8635,0.414360162130863,0.387828430271727,1121,2579,"801 N STATE ST","GREENFIELD",46140,"HANCOCK","Acute Care Hospitals","Government - Local","Yes",6456.68908551069,7678.82437054632,0,0,0.953693712,230.4748974,0.444031007751938,0,105,894,0,1.023846472,1.022676901,1.015499375,0.333209302325581,0,0,0,NA,NA,15.5,19.3,18.5,4.5,15.1,15.3,19.5,20.6,4.6,16,288365.99,434933.89,670078.08,NA,372731.1,8607962.11938242
150038,"INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC","IN",9,1689984.91,1986473.49070175,1943292.34,5473520.26,21,8307.29,9150.33,118,0.969217485,34,8850.71,9658.71,118,0.975103742,NA,NA,NA,10,0,NA,NA,NA,5,0,56,6327.96,7628.38,150,0.957702935,1,0,0,37,944,1745,0.540974212034384,0.129211403184006,268,540,"2209 JOHN R WOODEN DR","MARTINSVILLE",46151,"MORGAN","Acute Care Hospitals","Voluntary non-profit - Private","Yes",7412.21451754386,8523.21201754386,0,0,0.953693712,442.0845301,0.578163771712159,0,111,401,0,1.023846472,1.022676901,1.015499375,0.373449131513648,0,0,0,NA,NA,NA,19.5,20.9,NA,18,NA,21.9,22.4,NA,18.5,539876.19,407210.2,266087.97,NA,NA,2284220.82070175
150042,"GOOD SAMARITAN HOSPITAL","IN",67,16630790.9,20452853.6985709,19217541.87,54736243.2,77,7164.61,8003.55,332,1.069815097,106,7123.32,7864.43,477,0.82843736,17,7980.24,8748,162,1.041273418,13,13970.38,15115.46,290,0.763980523,60,5291.22,6713.95,412,0.965849359,0.9973,44903.1354300006,55222.7049861421,192,15108,25488,0.592749529190207,0.363698630136986,3184,6080,"520 S 7TH ST","VINCENNES",47591,"KNOX","Acute Care Hospitals","Voluntary non-profit - Other","Yes",6423.63495558131,7422.76626882966,2,2.111088515,0.953693712,74.60791088,0.24031007751938,94,273,1673,494,1.023846472,1.022676901,1.015499375,0.272093023255814,0,21,0,5,0,15.7,18.3,20.2,3.9,14.9,15.4,17.8,20.9,4.9,15.4,807427.92,1216629.39,1025855.3,293809.95,727428.78,23634087.7999536
150044,"FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","IN",91,31596690.83,45317794.0482156,36412786.55,127872076.55,191,7281.5,8119.39,885,1.009904256,125,7634.33,8349.15,668,1.055891311,50,9040.34,9797.72,340,0.979085285,24,15509.58,16243.75,314,1.221322807,178,5549.43,6532.25,857,1.068186319,0.9911,281210.548387001,403328.367029119,211,29914,59275,0.504664698439477,0.769655261961955,6414,13273,"1850 STATE ST","NEW ALBANY",47150,"FLOYD","Acute Care Hospitals","Government - Local","Yes",7065.44964892665,8142.39413014311,4,4.355304693,0.953693712,299.2312075,0.492861576660459,518,568,3064,2724,1.023846472,1.022676901,1.015499375,0.347858472998138,62,66,43,0,8,16.6,21.6,22.5,5.8,17.7,17,20.3,22.8,5.5,18.5,2011131.47,1679123.61,2225415.57,692114.96,956938.08,52225315.9507379
150045,"DEKALB HEALTH","IN",14,1275586.03,3103211.39231092,1541489.23,4087827.82,NA,NA,NA,162,0.948849151,14,7754.14,8724.71,97,0.951362211,NA,NA,NA,16,0,NA,NA,NA,20,0,NA,NA,NA,57,0.987287415,1,0,0,47,2009,6801,0.295397735627114,0.396444185368697,579,2050,"1316 E SEVENTH ST","AUBURN",46706,"DE KALB","Acute Care Hospitals","Voluntary non-profit - Private","Yes",5359.60516806723,6476.84550420168,0,0,0.953693712,545.1431371,0.622864243553899,0,14,352,0,1.023846472,1.022676901,1.015499375,0.38685927306617,NA,NA,0,NA,NA,NA,15.3,18.5,4.6,14.8,NA,15.9,19.5,4.5,14.7,161207.06,282067.99,314683.05,NA,NA,3750093.54693277
150046,"TERRE HAUTE REGIONAL HOSPITAL","IN",52,11617627.95,NA,13547513.96,64668189.92,45,8370.69,8873.4,273,0.982107637,69,8330.74,8928.45,374,1.025065207,50,9639.34,10763.96,288,1.063834658,NA,NA,NA,82,1.135793893,100,6041.57,7091.7,477,1.079584025,0.9894,123146.856270001,NA,NA,NA,NA,NA,NA,NA,NA,"3901 S SEVENTH ST","TERRE HAUTE",47802,"VIGO","Acute Care Hospitals","Proprietary","Yes",6911.14095776324,8059.19926234384,4,4.304277783,0.953693712,75.21916251,0.241860465116279,219,264,1494,1221,1.023846472,1.022676901,1.015499375,0.272558139534884,27,0,19,14,NA,19,21.6,23.8,6.1,17.5,17.9,20.5,22.9,5.8,18.2,1600685.73,1134258.96,732009.9,852938.08,307151.06,NA
150047,"ST JOSEPH HOSPITAL","IN",28,5182911.94,8950259.78078035,5967269.81,24350683.26,NA,NA,NA,74,0.946252078,28,9573.36,10580.25,158,0.825636715,NA,NA,NA,70,1.011625353,NA,NA,NA,2,0,25,7258,8161.24,122,1.083398652,0.9979,10884.115074,18795.5455396386,121,5954,29600,0.201148648648649,0.670213970338503,1195,5032,"700 BROADWAY","FORT WAYNE",46802,"ALLEN","Acute Care Hospitals","Proprietary","Yes",7489.75713872832,8623.22226878613,2,2.095024005,0.953693712,545.1431371,0.622864243553899,25,53,426,192,1.023846472,1.022676901,1.015499375,0.38685927306617,10,NA,0,NA,NA,18.5,19.5,19.7,NA,15.4,16.9,18.5,22.6,NA,15.9,476225.83,571291.98,224756,NA,NA,10304750.6111994
150048,"REID HEALTH","IN",86,35820708.25,45404815.1232078,40639008.05,94754770.52,221,9100.97,10068.49,938,0.877593544,154,9276.31,10155.32,716,0.944532491,68,11270.93,12609.54,492,0.892279637,25,19087.88,20085.2,467,1.225611401,110,7108.34,8004.02,607,0.951250694,0.991,322386.37425,408643.33610887,165,20166,38095,0.529360808505053,0.632544624325446,5216,9966,"1100 REID PKWY","RICHMOND",47374,"WAYNE","Acute Care Hospitals","Voluntary non-profit - Private","Yes",8704.91087484812,9875.82212636695,1,1.225611401,0.953693712,170.8640442,0.393798449612403,25,578,3220,467,1.023846472,1.022676901,1.015499375,0.318139534883721,0,0,0,0,8,16.2,19.9,22.2,5.9,17.1,17,20.8,22.6,5.2,18.4,1691538.55,2295695.96,3602228.45,1257112.68,1306987.96,51512288.21113
150051,"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","IN",81,27143974.06,35499652.9495703,32611089.55,107804879.11,65,8468.62,9272.49,672,0.898277743,49,9216.94,9959.16,445,0.886404567,21,10027.71,10811.71,424,0.800087713,12,16309.25,17190.25,473,0.691399817,64,6291.34,7287.11,380,1.022880497,0.9996,10857.5896239988,14199.8611798266,263,21828,53654,0.406828940992284,0.5589249440075,4444,11961,"601 W SECOND ST","BLOOMINGTON",47403,"MONROE","Acute Care Hospitals","Voluntary non-profit - Private","Yes",7988.2207357269,9597.14230429665,1,1.022880497,0.953693712,60.63652532,0.199131513647643,64,211,2394,380,1.023846472,1.022676901,1.015499375,0.259739454094293,17,0,0,0,0,11.6,18.3,16.7,3.4,14.6,14.8,19.1,20.2,5,16,966646.82,1130698.09,1699281.19,554719.02,1435446.51,42649700.4002943
150056,"INDIANA UNIVERSITY HEALTH","IN",97,100260921.32,163073468.702014,133154761.9,432960586.97,111,11102.07,13883.04,651,0.980195633,175,11075.13,15851.81,880,1.036280403,86,14524.28,17313.2,446,1.001038637,31,24044.06,27460.65,360,0.923129108,182,8196.81,11169.31,779,1.043551167,0.999,100260.92132,163073.468702014,1213,88331,315156,0.280277069134016,0.711798717137953,14183,48746,"1701 N SENATE BLVD","INDIANAPOLIS",46202,"MARION","Acute Care Hospitals","Voluntary non-profit - Private","Yes",11497.8120779817,15270.0415022936,3,3.080870207,0.953693712,2299.519515,0.869565217391304,443,585,3116,2105,1.023846472,1.022676901,1.015499375,0.460869565217391,84,0,81,40,0,17.9,25,23.8,5.5,19.9,17.4,23.9,23.5,5,20.3,3922975.08,5182154.84,3403327.81,2222078.95,2350880.17,216574998.62703
150057,"FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE","IN",18,10199290.76,11642334.5181834,12761011.55,44069164.94,NA,NA,NA,191,0.947778949,NA,NA,NA,58,0.928431052,NA,NA,NA,2,0,NA,NA,NA,1845,0.856052508,15,5049.33,8071.67,141,0.959296291,1,0,0,98,5291,9323,0.567521184168186,0.26063740564719,1307,2941,"1201 HADLEY RD","MOORESVILLE",46158,"MORGAN","Acute Care Hospitals","Voluntary non-profit - Church","Yes",8907.67751965066,11144.9882532751,0,0,0.953693712,363.6640873,0.535215637604716,0,15,2237,0,1.023846472,1.022676901,1.015499375,0.360564691281415,0,NA,NA,NA,NA,NA,18.3,20.5,4.1,14.7,NA,19.3,21.7,4.8,15.8,341849.13,NA,405894.3,NA,NA,14566499.6470306
150058,"MEMORIAL HOSPITAL OF SOUTH BEND","IN",82,33726103.66,44859574.7284473,40695427.47,150551080.1,76,8772.3,10150.33,512,0.880249109,112,8716.73,10284.54,635,0.858373418,43,10520.95,11926.33,317,0.89476159,13,19480.62,20553.77,898,0.977640429,74,6663.24,7865.41,423,1.006528013,0.9999,3372.61036599963,4485.95747284423,392,27442,95870,0.286241785751539,0.670044730220855,5234,18568,"615 N MICHIGAN ST","SOUTH BEND",46601,"ST JOSEPH","Acute Care Hospitals","Voluntary non-profit - Private","Yes",8570.80143837357,10341.912952986,1,1.006528013,0.953693712,582.5048109,0.63388147688489,74,318,2785,423,1.023846472,1.022676901,1.015499375,0.390164443065467,29,0,0,0,0,13.9,19.5,18.5,4.5,13.8,15.5,18.7,20,4.5,15.8,1273113.73,2008945.54,1568982.11,670293.23,1390494.82,54129572.3959287
150059,"RIVERVIEW HEALTH","IN",39,8394928.79,13136587.0613367,9553554.6,30629895.67,44,7705.52,8543.89,295,0.877323148,34,7866.12,9012.82,204,0.932919518,13,9445.31,10356.08,110,0.950012575,NA,NA,NA,379,0.936393304,22,6165.05,7181.18,192,0.924635839,1,0,0,105,6592,15536,0.424304840370752,0.405375081539465,1557,3810,"395 WESTFIELD RD","NOBLESVILLE",46060,"HAMILTON","Acute Care Hospitals","Government - Local","Yes",8437.11436180904,9601.5624120603,0,0,0.953693712,717.3050552,0.666770186335404,0,113,1180,0,1.023846472,1.022676901,1.015499375,0.400031055900621,0,0,0,0,NA,15.5,18.3,20.9,4.6,14,15.6,19.9,21.9,4.9,16,335353.08,533100.82,864539.46,205805.09,236105.1,14949632.6755779
150061,"DAVIESS COMMUNITY HOSPITAL","IN",27,3177875.49,4038550.101875,3756709.9,7095141.05,32,7974.13,8671,249,0.982473042,NA,NA,NA,119,1.066445205,NA,NA,NA,22,0,NA,NA,NA,22,0,27,6496.81,7495.04,140,0.973149674,0.9973,8580.26382300011,10904.0852750626,42,2285,5405,0.422756706753006,0.352576647097195,732,1561,"1314 E WALNUT ST","WASHINGTON",47501,"DAVIESS","Acute Care Hospitals","Voluntary non-profit - Other","Yes",5517.14494791667,6522.06579861111,1,1.066445205,0.953693712,74.45625213,0.23937984496124,0,59,552,119,1.023846472,1.022676901,1.015499375,0.271813953488372,0,0,NA,NA,NA,19.5,17.3,21,NA,16.7,20.6,18.1,21.4,NA,16.6,404469.08,112420.98,570326.84,NA,NA,4774152.16458333
150064,"FAYETTE REGIONAL HEALTH SYSTEM","IN",21,2828037.43,3905711.88754854,3202849.61,6883026.98,23,8075.74,9742.52,240,1.043315529,NA,NA,NA,108,0.969659637,NA,NA,NA,23,0,NA,NA,NA,5,0,NA,NA,NA,168,0.962226107,0.9963,10463.7384910001,14451.1339839298,57,2122,4190,0.506443914081146,0.201393895698149,569,1164,"1941 VIRGINIA AVE","CONNERSVILLE",47331,"FAYETTE","Acute Care Hospitals","Proprietary","Yes",6864.16851941748,7773.90682038835,1,1.043315529,0.953693712,112.946084,0.321550387596899,23,23,544,240,1.023846472,1.022676901,1.015499375,0.29646511627907,NA,7,NA,NA,NA,NA,20,20.5,NA,18.6,NA,20.7,21.7,NA,17.4,217886.02,124948.94,602840.82,NA,153384,4423352.98080097
150065,"SCHNECK MEDICAL CENTER","IN",28,4569468.87,8476398.90533632,5512643.95,14339666.52,28,7195.32,8499.07,191,0.932089502,24,7543.58,9030.13,131,0.899424147,NA,NA,NA,30,0.987024083,NA,NA,NA,115,1.16772708,47,5789.57,7186.02,278,0.879398667,0.9925,34271.0165249998,63572.991790022,93,5710,14817,0.385368158196666,0.436500220945647,1241,3416,"411 W TIPTON ST","SEYMOUR",47274,"JACKSON","Acute Care Hospitals","Government - Local","Yes",6830.29726457399,8240.1254857997,1,1.16772708,0.953693712,191.3701395,0.409739454094293,0,99,745,115,1.023846472,1.022676901,1.015499375,0.322921836228288,0,0,0,NA,NA,NA,16,18.3,5.4,14.4,NA,18.8,20.4,5.5,15.8,586119.91,328081.17,333805,NA,164346.98,10225995.7278774
150069,"KING'S DAUGHTERS' HEALTH","IN",45,8283121.55,10525265.821075,9773862.02,29018834.63,21,8256.9,8983.19,250,0.962056553,28,8555.18,9144.18,223,1.057140803,11,9812.09,10237.55,53,0.947721038,NA,NA,NA,65,0.979826901,41,5754.2,8237.85,414,0.934927007,0.9979,17394.5552549999,22103.0582242574,89,6715,13020,0.515745007680492,0.400800369401262,1643,3326,"1373 EAST SR 62","MADISON",47250,"JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","Yes",6406.12648878577,7559.05802010827,1,1.057140803,0.953693712,89.42387775,0.271317829457364,28,101,1005,223,1.023846472,1.022676901,1.015499375,0.281395348837209,0,0,8,0,NA,19.1,18.6,23,5.6,15.6,18.9,18.9,21.3,4.8,16,1146366.27,638017.01,569496.09,112613.05,230889,12419532.3270379
150072,"MEMORIAL HOSPITAL","IN",20,3134166.41,5920092.10777778,3520157.76,7413473.35,24,10814.46,11644.96,242,0.8799047,21,10626.9,11664.19,121,0.863410528,NA,NA,NA,5,0,NA,NA,NA,18,0,21,8460.52,9302.24,147,0.964046679,1,0,0,83,3111,7237,0.429874257288932,0.23888430434065,782,1858,"1101 MICHIGAN AVE","LOGANSPORT",46947,"CASS","Acute Care Hospitals","Government - Local","Yes",7570.45026570048,8502.79652173913,0,0,0.953693712,53.8143597,0.178715482469749,0,66,533,0,1.023846472,1.022676901,1.015499375,0.253614644740925,0,0,0,NA,NA,NA,18.4,17.8,NA,14,NA,19.1,20.4,NA,15.8,478349.95,512244.09,900036.8,NA,NA,6649186.88
150074,"COMMUNITY HOSPITAL EAST","IN",70,27606741.83,35743632.6997443,31998438.82,93176328.36,93,8923.3,10024.45,419,0.993485467,90,9092.72,10596.09,411,0.926725911,28,10884.43,12302.64,129,1.02377998,NA,NA,NA,184,0.909238853,108,7207.32,8274.56,442,0.968935721,0.9997,8282.02254899909,10723.0898099221,309,21219,61972,0.342396566191183,0.662525791381135,4507,13156,"1500 N RITTER AVE","INDIANAPOLIS",46219,"MARION","Acute Care Hospitals","Voluntary non-profit - Private","Yes",7930.69285550129,9192.31221488078,1,1.02377998,0.953693712,2299.519515,0.869565217391304,28,319,1585,129,1.023846472,1.022676901,1.015499375,0.460869565217391,0,0,0,13,NA,18.8,20,20.3,5.4,17.3,18,19.9,22.1,5.6,16.9,1692554.27,1832031.92,1638605.68,557735.91,467943,41429751.1524677
150075,"BLUFFTON REGIONAL MEDICAL CENTER","IN",20,2548440.17,3778899.16117172,3026533.32,13014603.24,13,7881.54,8694.77,188,0.940568675,18,8150.33,8869.22,123,0.936338175,NA,NA,NA,20,0,NA,NA,NA,54,1.051393546,28,6318.04,7042.46,356,1.163943306,0.9803,50204.2713490001,74444.313475083,62,2743,6514,0.42109303039607,0.287847989394609,734,1713,"303 S MAIN ST","BLUFFTON",46714,"WELLS","Acute Care Hospitals","Proprietary","Yes",5148.36397979798,6114.20872727273,2,2.215336852,0.953693712,101.3779959,0.294573643410853,28,59,741,410,1.023846472,1.022676901,1.015499375,0.288372093023256,8,0,0,NA,NA,NA,23.7,20.3,5,17.6,NA,20.9,20,5,16.6,695048.76,265466.88,405151.96,NA,NA,4487829.20581818
150076,"SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH","IN",23,3556202.19,6506793.7100198,4107948.41,9659544.08,24,7209.29,8464.75,109,0.921531518,22,7990.95,9237.73,138,0.925799144,16,9165.19,10046.19,38,0.953465076,NA,NA,NA,99,1.234772652,12,6225,7404.33,122,0.894326351,0.9874,44808.1475939998,81985.6007462491,45,2054,5867,0.350093744673598,0.357199391171994,924,1834,"1915 LAKE AVE","PLYMOUTH",46563,"MARSHALL","Acute Care Hospitals","Voluntary non-profit - Church","Yes",7041.98453465346,8134.55130693069,1,1.234772652,0.953693712,106.0571986,0.306666666666667,0,74,506,99,1.023846472,1.022676901,1.015499375,0.292,0,0,0,0,NA,16.8,18.8,18.2,6.5,15.9,16.8,21.3,19.9,5.8,17.1,151289.94,305382.04,377877.92,218270.04,175072.95,7516325.40760396
150082,"DEACONESS HOSPITAL INC","IN",96,49752925.6,72939217.2432536,61008369.67,229737113.64,132,7228.88,8602.98,1086,1.070880244,186,7638.17,8637.34,1141,1.023863281,40,8754.3,9573.25,428,0.929032026,37,15563.08,16552.78,789,0.958480901,196,5689.16,6729.79,1168,1.050322796,0.996,199011.7024,291756.868973015,468,51778,112236,0.461331480095513,0.657042500878117,10724,23498,"600 MARY ST","EVANSVILLE",47747,"VANDERBURGH","Acute Care Hospitals","Voluntary non-profit - Private","Yes",6801.49358851675,8340.17357074504,3,3.145066321,0.953693712,772.2661666,0.680521091811414,514,591,4612,3395,1.023846472,1.022676901,1.015499375,0.404156327543424,79,53,75,0,0,14.9,20.7,22.7,4.8,17.5,15.5,18.6,21,4.9,16.4,3114726.89,3392945.71,2841459.97,638096.97,1740474.8,89440021.3726698
